Date,Value
2015-08-23,4035.51
2015-08-24,3872.58
2015-08-25,3643.15
2015-08-26,3630.11
2015-08-27,3903.82
2015-08-28,4393.03
2015-08-29,3990.11
2015-08-30,3933.71
2015-08-31,4003.6
2015-09-01,4704.04
2015-09-02,4819.55
2015-09-03,5509.21
2015-09-04,6357.75
2015-09-05,5184.49
2015-09-06,4157.98
2015-09-07,4064.72
2015-09-08,3770.56
2015-09-09,3960.45
2015-09-10,3801.35
2015-09-11,4709.89
2015-09-12,4312.81
2015-09-13,3880.22
2015-09-14,4056.63
2015-09-15,3666.52
2015-09-16,3841.12
2015-09-17,4005.62
2015-09-18,4678.88
2015-09-19,3937.08
2015-09-20,3702.47
2015-09-21,3848.54
2015-09-22,3626.97
2015-09-23,3565.39
2015-09-24,3799.78
2015-09-25,4931.24
2015-09-26,4341.57
2015-09-27,3569.66
2015-09-28,3982.47
2015-09-29,3650.34
2015-09-30,3673.26
2015-10-01,5457.3
2015-10-02,7381.57
2015-10-03,5052.81
2015-10-04,4914.38
2015-10-05,5268.54
2015-10-06,3568.09
2015-10-07,3549.44
2015-10-08,3715.06
2015-10-09,4571.69
2015-10-10,4048.54
2015-10-11,3843.15
2015-10-12,4243.6
2015-10-13,3736.63
2015-10-14,3784.72
2015-10-15,3741.12
2015-10-16,4725.62
2015-10-17,4473.93
2015-10-18,4012.58
2015-10-19,3932.58
2015-10-20,3860.22
2015-10-21,3767.42
2015-10-22,4571.46
2015-10-23,4346.52
2015-10-24,4538.43
2015-10-25,3613.93
2015-10-26,4100.0
2015-10-27,3566.29
2015-10-28,3869.89
2015-10-29,3684.94
2015-10-30,4746.74
2015-10-31,4187.64
2015-11-01,4907.87
2015-11-02,5562.25
2015-11-03,5236.63
2015-11-04,4727.42
2015-11-05,5250.34
2015-11-06,4163.6
2015-11-07,4562.47
2015-11-08,3558.88
2015-11-09,4072.81
2015-11-10,3645.62
2015-11-11,4454.61
2015-11-12,4070.34
2015-11-13,4699.55
2015-11-14,4446.07
2015-11-15,4059.78
2015-11-16,4066.97
2015-11-17,3780.67
2015-11-18,3642.92
2015-11-19,4174.16
2015-11-20,4376.4
2015-11-21,3975.28
2015-11-22,4332.13
2015-11-23,3886.74
2015-11-24,3879.78
2015-11-25,3824.94
2015-11-26,4166.29
2015-11-27,4757.98
2015-11-28,4321.12
2015-11-29,4095.28
2015-11-30,4009.44
2015-12-01,5586.07
2015-12-02,4850.79
2015-12-03,5335.73
2015-12-04,6321.12
2015-12-05,5006.07
2015-12-06,4127.42
2015-12-07,4140.22
2015-12-08,3944.49
2015-12-09,4142.25
2015-12-10,3861.12
2015-12-11,5201.35
2015-12-12,4415.06
2015-12-13,4094.83
2015-12-14,3560.22
2015-12-15,3941.57
2015-12-16,3776.18
2015-12-17,4129.89
2015-12-18,4728.99
2015-12-19,3760.67
2015-12-20,3892.58
2015-12-21,4199.55
2015-12-22,3893.48
2015-12-23,3450.79
2015-12-24,3760.22
2015-12-25,5363.37
2015-12-26,3950.56
2015-12-27,4205.62
2015-12-28,4027.19
2015-12-29,4046.74
2015-12-30,4137.08
2015-12-31,4188.99
2016-01-01,7694.83
2016-01-02,5270.34
2016-01-03,5305.84
2016-01-04,6179.55
2016-01-05,5560.67
2016-01-06,4118.2
2016-01-07,4316.4
2016-01-08,5280.0
2016-01-09,5031.91
2016-01-10,4568.76
2016-01-11,4431.91
2016-01-12,3916.63
2016-01-13,4263.15
2016-01-14,4356.63
2016-01-15,4642.47
2016-01-16,4601.35
2016-01-17,4664.49
2016-01-18,4590.56
2016-01-19,4122.02
2016-01-20,4024.49
2016-01-21,4443.15
2016-01-22,5149.89
2016-01-23,4488.31
2016-01-24,4647.87
2016-01-25,4599.55
2016-01-26,4751.01
2016-01-27,4062.92
2016-01-28,4104.72
2016-01-29,5115.51
2016-01-30,4821.35
2016-01-31,4565.84
2016-02-01,5984.72
2016-02-02,5554.38
2016-02-03,5635.28
2016-02-04,6053.03
2016-02-05,6940.22
2016-02-06,4515.96
2016-02-07,4425.62
2016-02-08,4593.71
2016-02-09,4694.16
2016-02-10,4071.91
2016-02-11,4516.18
2016-02-12,5486.97
2016-02-13,4672.81
2016-02-14,4306.07
2016-02-15,4264.49
2016-02-16,4418.88
2016-02-17,4359.78
2016-02-18,4141.35
2016-02-19,5415.51
2016-02-20,4852.13
2016-02-21,4424.04
2016-02-22,5061.8
2016-02-23,4123.15
2016-02-24,4493.26
2016-02-25,4477.75
2016-02-26,4958.43
2016-02-27,5094.83
2016-02-28,4588.31
2016-02-29,4459.78
2016-03-01,5730.11
2016-03-02,6102.47
2016-03-03,5776.18
2016-03-04,7324.72
2016-03-05,5907.19
2016-03-06,4345.62
2016-03-07,4142.92
2016-03-08,4384.49
2016-03-09,3879.55
2016-03-10,4269.89
2016-03-11,5871.46
2016-03-12,4909.66
2016-03-13,4848.76
2016-03-14,4522.92
2016-03-15,4560.22
2016-03-16,3835.28
2016-03-17,4804.94
2016-03-18,5085.39
2016-03-19,4909.66
2016-03-20,5055.73
2016-03-21,4671.91
2016-03-22,4191.24
2016-03-23,4156.85
2016-03-24,5297.53
2016-03-25,5605.62
2016-03-26,5067.42
2016-03-27,4304.94
2016-03-28,4297.53
2016-03-29,4496.4
2016-03-30,3721.8
2016-03-31,4604.27
2016-04-01,7148.54
2016-04-02,6366.52
2016-04-03,5290.11
2016-04-04,6475.96
2016-04-05,6047.87
2016-04-06,4370.79
2016-04-07,4071.01
2016-04-08,5386.97
2016-04-09,4595.73
2016-04-10,4285.84
2016-04-11,4591.91
2016-04-12,4277.98
2016-04-13,4313.93
2016-04-14,4797.75
2016-04-15,5175.73
2016-04-16,4299.1
2016-04-17,4705.17
2016-04-18,4973.93
2016-04-19,4052.58
2016-04-20,4137.53
2016-04-21,4365.17
2016-04-22,4991.01
2016-04-23,5082.7
2016-04-24,4643.6
2016-04-25,4031.69
2016-04-26,4526.29
2016-04-27,4128.09
2016-04-28,4870.11
2016-04-29,5533.48
2016-04-30,4600.9
2016-05-01,7346.29
2016-05-02,5714.38
2016-05-03,5995.51
2016-05-04,5581.35
2016-05-05,6012.81
2016-05-06,4942.25
2016-05-07,4978.88
2016-05-08,4246.52
2016-05-09,4115.28
2016-05-10,4177.08
2016-05-11,3876.63
2016-05-12,4296.63
2016-05-13,4737.98
2016-05-14,4887.19
2016-05-15,4535.96
2016-05-16,4448.09
2016-05-17,4420.67
2016-05-18,3908.31
2016-05-19,4598.43
2016-05-20,5184.72
2016-05-21,4692.81
2016-05-22,4336.18
2016-05-23,4451.46
2016-05-24,4239.78
2016-05-25,3858.2
2016-05-26,4462.92
2016-05-27,5105.17
2016-05-28,4566.07
2016-05-29,4217.53
2016-05-30,4191.69
2016-05-31,4073.93
2016-06-01,5346.97
2016-06-02,6352.81
2016-06-03,6339.55
2016-06-04,5803.82
2016-06-05,5079.78
2016-06-06,4006.74
2016-06-07,4005.39
2016-06-08,4138.65
2016-06-09,4703.15
2016-06-10,4905.39
2016-06-11,5106.29
2016-06-12,4321.57
2016-06-13,4438.65
2016-06-14,3963.15
2016-06-15,4311.91
2016-06-16,4534.83
2016-06-17,5557.08
2016-06-18,4687.42
2016-06-19,4496.18
2016-06-20,4197.3
2016-06-21,3675.73
2016-06-22,4256.4
2016-06-23,4339.55
2016-06-24,5017.53
2016-06-25,4242.25
2016-06-26,4491.01
2016-06-27,4795.96
2016-06-28,3842.7
2016-06-29,4177.98
2016-06-30,4291.01
2016-07-01,7046.52
2016-07-02,5742.02
2016-07-03,5028.99
2016-07-04,5690.56
2016-07-05,5231.24
2016-07-06,4304.49
2016-07-07,4043.6
2016-07-08,4979.33
2016-07-09,3911.91
2016-07-10,4355.73
2016-07-11,4200.9
2016-07-12,3849.66
2016-07-13,4177.08
2016-07-14,4517.3
2016-07-15,4652.58
2016-07-16,4420.67
2016-07-17,4437.75
2016-07-18,4049.21
2016-07-19,4215.51
2016-07-20,3875.28
2016-07-21,3837.08
2016-07-22,4467.42
2016-07-23,4428.54
2016-07-24,3936.18
2016-07-25,4275.73
2016-07-26,4026.52
2016-07-27,3945.39
2016-07-28,4396.4
2016-07-29,5044.27
2016-07-30,4553.03
2016-07-31,4275.28
2016-08-01,5551.01
2016-08-02,4962.7
2016-08-03,5377.98
2016-08-04,5285.84
2016-08-05,6288.99
2016-08-06,4154.61
2016-08-07,4254.38
2016-08-08,4008.99
2016-08-09,4185.62
2016-08-10,4083.6
2016-08-11,3866.07
2016-08-12,4889.44
2016-08-13,3973.93
2016-08-14,3968.99
2016-08-15,4686.29
2016-08-16,4189.89
2016-08-17,3566.74
2016-08-18,4123.15
2016-08-19,4973.93
2016-08-20,4074.38
2016-08-21,3880.0
2016-08-22,4144.94
2016-08-23,3725.84
2016-08-24,3835.73
2016-08-25,4139.1
2016-08-26,4388.99
2016-08-27,4613.93
2016-08-28,4437.08
2016-08-29,4013.71
2016-08-30,3839.55
2016-08-31,3860.0
2016-09-01,5786.29
2016-09-02,6370.11
2016-09-03,5556.18
2016-09-04,5025.84
2016-09-05,5252.36
2016-09-06,3986.29
2016-09-07,4275.51
2016-09-08,3797.08
2016-09-09,5058.2
2016-09-10,4109.89
2016-09-11,4029.21
2016-09-12,4128.76
2016-09-13,3812.13
2016-09-14,3702.7
2016-09-15,4223.15
2016-09-16,4643.15
2016-09-17,4034.38
2016-09-18,4353.26
2016-09-19,4037.08
2016-09-20,4242.47
2016-09-21,3742.7
2016-09-22,4090.11
2016-09-23,4978.2
2016-09-24,4524.72
2016-09-25,4076.85
2016-09-26,4076.18
2016-09-27,4075.73
2016-09-28,3794.61
2016-09-29,4143.37
2016-09-30,4713.93
2016-10-01,4940.9
2016-10-02,7279.1
2016-10-03,5440.0
2016-10-04,5329.44
2016-10-05,5726.52
2016-10-06,3831.91
2016-10-07,4667.64
2016-10-08,4074.16
2016-10-09,3960.22
2016-10-10,4692.58
2016-10-11,4233.03
2016-10-12,4101.35
2016-10-13,4373.71
2016-10-14,4537.98
2016-10-15,4151.69
2016-10-16,4094.16
2016-10-17,3973.71
2016-10-18,4041.8
2016-10-19,3831.01
2016-10-20,3993.26
2016-10-21,4437.75
2016-10-22,4016.4
2016-10-23,4604.04
2016-10-24,4019.78
2016-10-25,3791.69
2016-10-26,3849.21
2016-10-27,4445.39
2016-10-28,4824.27
2016-10-29,3777.98
2016-10-30,5827.42
2016-10-31,4327.87
2016-11-01,5556.63
2016-11-02,5373.71
2016-11-03,5661.8
2016-11-04,6909.66
2016-11-05,4794.83
2016-11-06,4294.16
2016-11-07,4322.47
2016-11-08,3592.81
2016-11-09,1412.13
2016-11-10,1570.34
2016-11-11,1967.42
2016-11-12,1873.48
2016-11-13,1373.93
2016-11-14,1512.81
2016-11-15,1734.83
2016-11-16,1740.45
2016-11-17,1621.57
2016-11-18,1949.21
2016-11-19,1907.19
2016-11-20,1754.83
2016-11-21,1756.63
2016-11-22,1656.4
2016-11-23,1471.69
2016-11-24,1574.16
2016-11-25,1977.98
2016-11-26,1730.11
2016-11-27,1644.49
2016-11-28,1624.27
2016-11-29,1662.47
2016-11-30,1484.27
2016-12-01,2490.11
2016-12-02,2704.27
2016-12-03,2276.18
2016-12-04,2071.01
2016-12-05,2568.54
2016-12-06,1626.07
2016-12-07,1543.6
2016-12-08,1584.27
2016-12-09,1783.6
2016-12-10,1838.2
2016-12-11,1744.04
2016-12-12,1632.58
2016-12-13,1693.48
2016-12-14,1604.27
2016-12-15,1764.94
2016-12-16,2138.2
2016-12-17,1724.04
2016-12-18,1783.15
2016-12-19,1775.51
2016-12-20,1587.87
2016-12-21,1760.22
2016-12-22,1648.31
2016-12-23,1940.67
2016-12-24,1806.97
2016-12-25,2588.09
2016-12-26,1653.93
2016-12-27,1574.83
2016-12-28,1632.81
2016-12-29,1726.52
2016-12-30,2051.69
2016-12-31,1902.02
2017-01-01,5507.87
2017-01-02,4815.73
2017-01-03,4442.7
2017-01-04,4652.36
2017-01-05,4706.97
2017-01-06,4358.2
2017-01-07,3466.07
2017-01-08,3831.24
2017-01-09,3520.22
2017-01-10,3261.8
2017-01-11,3404.49
2017-01-12,3630.34
2017-01-13,4099.33
2017-01-14,3880.9
2017-01-15,3256.18
2017-01-16,3556.85
2017-01-17,3002.25
2017-01-18,3074.83
2017-01-19,3242.7
2017-01-20,4073.03
2017-01-21,3497.3
2017-01-22,3333.26
2017-01-23,3529.66
2017-01-24,3422.7
2017-01-25,3439.78
2017-01-26,3620.45
2017-01-27,3981.12
2017-01-28,3913.26
2017-01-29,3303.15
2017-01-30,3537.53
2017-01-31,3036.85
2017-02-01,4644.27
2017-02-02,4920.22
2017-02-03,5606.97
2017-02-04,4488.76
2017-02-05,4031.01
2017-02-06,3605.39
2017-02-07,3730.11
2017-02-08,3559.33
2017-02-09,3561.35
2017-02-10,4275.28
2017-02-11,3953.03
2017-02-12,3512.81
2017-02-13,3061.35
2017-02-14,3095.73
2017-02-15,3221.8
2017-02-16,3706.07
2017-02-17,4053.71
2017-02-18,4104.94
2017-02-19,3500.67
2017-02-20,2976.4
2017-02-21,3344.94
2017-02-22,3196.63
2017-02-23,3578.43
2017-02-24,4037.53
2017-02-25,4037.75
2017-02-26,3451.46
2017-02-27,3671.24
2017-02-28,3109.66
2017-03-01,5977.3
2017-03-02,6039.33
2017-03-03,7489.66
2017-03-04,5973.48
2017-03-05,5831.24
2017-03-06,4151.24
2017-03-07,4368.99
2017-03-08,4309.44
2017-03-09,4698.2
2017-03-10,5967.19
2017-03-11,4974.83
2017-03-12,4475.96
2017-03-13,5353.26
2017-03-14,4714.83
2017-03-15,4540.67
2017-03-16,5074.83
2017-03-17,5891.01
2017-03-18,5342.25
2017-03-19,4929.21
2017-03-20,4754.83
2017-03-21,4342.47
2017-03-22,4665.17
2017-03-23,4568.54
2017-03-24,5323.82
2017-03-25,4997.98
2017-03-26,4904.72
2017-03-27,4502.92
2017-03-28,4886.29
2017-03-29,4269.66
2017-03-30,4624.72
2017-03-31,5850.79
2017-04-01,6574.61
2017-04-02,6151.69
2017-04-03,6952.81
2017-04-04,5961.57
2017-04-05,6060.22
2017-04-06,4505.17
2017-04-07,5816.4
2017-04-08,4437.3
2017-04-09,4908.09
2017-04-10,4897.3
2017-04-11,4337.08
2017-04-12,4533.03
2017-04-13,4602.7
2017-04-14,5940.9
2017-04-15,4747.42
2017-04-16,4569.89
2017-04-17,4937.3
2017-04-18,4297.98
2017-04-19,4424.27
2017-04-20,4961.8
2017-04-21,5537.53
2017-04-22,5329.44
2017-04-23,4253.71
2017-04-24,4459.78
2017-04-25,3998.2
2017-04-26,4369.21
2017-04-27,4970.56
2017-04-28,5246.29
2017-04-29,4889.21
2017-04-30,4874.38
2017-05-01,6718.2
2017-05-02,6055.06
2017-05-03,5918.2
2017-05-04,5916.63
2017-05-05,7206.74
2017-05-06,4647.64
2017-05-07,4417.98
2017-05-08,4842.7
2017-05-09,4237.98
2017-05-10,4624.94
2017-05-11,4770.34
2017-05-12,5636.85
2017-05-13,4850.79
2017-05-14,4819.1
2017-05-15,4562.92
2017-05-16,4068.09
2017-05-17,4184.94
2017-05-18,4158.65
2017-05-19,5506.52
2017-05-20,5356.63
2017-05-21,4479.1
2017-05-22,4582.02
2017-05-23,4306.52
2017-05-24,4309.44
2017-05-25,4786.52
2017-05-26,5291.24
2017-05-27,5341.8
2017-05-28,4417.08
2017-05-29,4609.66
2017-05-30,4347.19
2017-05-31,4223.82
2017-06-01,5901.35
2017-06-02,7568.76
2017-06-03,5781.12
2017-06-04,5375.28
2017-06-05,6223.37
2017-06-06,4089.44
2017-06-07,4209.66
2017-06-08,5010.34
2017-06-09,5602.47
2017-06-10,4361.57
2017-06-11,4646.97
2017-06-12,4446.29
2017-06-13,4731.91
2017-06-14,4404.94
2017-06-15,4617.08
2017-06-16,5448.09
2017-06-17,4902.7
2017-06-18,4627.19
2017-06-19,4360.67
2017-06-20,4080.0
2017-06-21,4133.26
2017-06-22,3857.98
2017-06-23,5665.17
2017-06-24,4782.92
2017-06-25,3861.8
2017-06-26,4767.64
2017-06-27,4451.01
2017-06-28,4294.83
2017-06-29,4649.44
2017-06-30,5571.46
2017-07-01,6044.27
2017-07-02,5434.38
2017-07-03,6290.79
2017-07-04,5979.55
2017-07-05,5637.98
2017-07-06,4753.71
2017-07-07,5397.53
2017-07-08,4576.85
2017-07-09,4049.89
2017-07-10,4138.43
2017-07-11,4176.63
2017-07-12,4280.9
2017-07-13,4415.51
2017-07-14,5832.36
2017-07-15,4807.87
2017-07-16,4734.83
2017-07-17,4175.06
2017-07-18,3937.98
2017-07-19,3806.52
2017-07-20,4282.7
2017-07-21,5428.76
2017-07-22,4600.9
2017-07-23,3918.88
2017-07-24,4317.53
2017-07-25,4049.21
2017-07-26,4156.18
2017-07-27,4183.6
2017-07-28,5544.94
2017-07-29,4698.88
2017-07-30,4121.8
2017-07-31,4446.29
2017-08-01,5543.37
2017-08-02,5337.75
2017-08-03,5912.81
2017-08-04,6460.45
2017-08-05,5662.47
2017-08-06,4164.04
2017-08-07,4464.27
2017-08-08,3905.17
2017-08-09,3596.4
2017-08-10,4443.37
2017-08-11,5411.24
2017-08-12,4667.42
2017-08-13,4493.48
2017-08-14,4665.17
2017-08-15,4179.1
2017-08-16,3843.6
2017-08-17,4755.96
2017-08-18,4646.97
2017-08-19,4563.37
2017-08-20,3852.13
2017-08-21,4134.16
2017-08-22,4221.57
2017-08-23,4356.4
2017-08-24,4409.66
2017-08-25,5055.28
2017-08-26,4574.61
2017-08-27,4807.19
2017-08-28,4405.17
2017-08-29,4020.0
2017-08-30,4408.31
2017-08-31,4053.71
2017-09-01,6695.73
2017-09-02,5746.97
2017-09-03,5448.54
2017-09-04,5883.37
2017-09-05,5289.21
2017-09-06,4146.29
2017-09-07,4084.04
2017-09-08,5102.47
2017-09-09,4254.16
2017-09-10,4044.49
2017-09-11,4268.31
2017-09-12,4249.66
2017-09-13,4253.26
2017-09-14,4303.82
2017-09-15,4668.76
2017-09-16,4416.63
2017-09-17,4131.01
2017-09-18,4130.34
2017-09-19,4065.39
2017-09-20,4015.51
2017-09-21,4543.15
2017-09-22,5218.43
2017-09-23,4982.02
2017-09-24,4197.3
2017-09-25,4259.1
2017-09-26,3988.99
2017-09-27,4311.91
2017-09-28,4160.67
2017-09-29,4876.4
2017-09-30,5440.22
2017-10-01,5461.57
2017-10-02,5735.28
2017-10-03,5634.61
2017-10-04,5597.53
2017-10-05,5481.8
2017-10-06,5654.61
2017-10-07,4837.53
2017-10-08,4536.4
2017-10-09,4279.78
2017-10-10,4004.04
2017-10-11,4097.08
2017-10-12,4300.9
2017-10-13,5068.76
2017-10-14,5165.17
2017-10-15,4722.25
2017-10-16,4826.97
2017-10-17,4381.12
2017-10-18,3833.48
2017-10-19,4828.09
2017-10-20,4682.02
2017-10-21,4507.42
2017-10-22,4342.02
2017-10-23,4751.46
2017-10-24,4283.15
2017-10-25,3934.61
2017-10-26,4246.97
2017-10-27,5020.45
2017-10-28,4544.94
2017-10-29,4124.04
2017-10-30,4317.53
2017-10-31,4241.57
2017-11-01,5209.44
2017-11-02,6577.53
2017-11-03,7169.21
2017-11-04,6151.69
2017-11-05,5280.9
2017-11-06,4605.39
2017-11-07,4029.21
2017-11-08,4133.26
2017-11-09,4511.01
2017-11-10,5030.79
2017-11-11,4346.97
2017-11-12,4615.96
2017-11-13,4423.82
2017-11-14,3913.48
2017-11-15,3980.67
2017-11-16,4351.24
2017-11-17,5325.62
2017-11-18,4602.47
2017-11-19,5000.45
2017-11-20,4234.61
2017-11-21,4057.75
2017-11-22,4299.55
2017-11-23,4901.8
2017-11-24,5204.27
2017-11-25,4542.02
2017-11-26,4901.8
2017-11-27,4191.46
2017-11-28,3987.42
2017-11-29,3879.1
2017-11-30,4490.11
2017-12-01,7080.45
2017-12-02,5703.6
2017-12-03,5989.66
2017-12-04,6068.09
2017-12-05,5527.42
2017-12-06,4396.63
2017-12-07,4395.51
2017-12-08,5464.27
2017-12-09,4487.42
2017-12-10,4284.49
2017-12-11,4277.75
2017-12-12,4435.96
2017-12-13,4334.83
2017-12-14,4763.82
2017-12-15,5901.35
2017-12-16,4754.16
2017-12-17,4623.15
2017-12-18,4221.12
2017-12-19,4335.51
2017-12-20,4315.51
2017-12-21,4585.17
2017-12-22,5490.11
2017-12-23,4583.82
2017-12-24,4357.3
2017-12-25,5058.2
2017-12-26,4336.63
2017-12-27,4076.63
2017-12-28,4381.57
2017-12-29,5588.99
2017-12-30,4962.7
2017-12-31,4615.28
2018-01-01,6464.04
2018-01-02,6023.15
2018-01-03,5930.79
2018-01-04,6041.35
2018-01-05,7209.89
2018-01-06,4726.29
2018-01-07,4859.55
2018-01-08,4806.74
2018-01-09,4705.17
2018-01-10,4301.57
2018-01-11,4906.07
2018-01-12,5601.35
2018-01-13,5008.54
2018-01-14,4649.21
2018-01-15,4794.16
2018-01-16,4659.33
2018-01-17,4961.12
2018-01-18,4702.92
2018-01-19,5715.73
2018-01-20,4804.04
2018-01-21,5315.96
2018-01-22,4700.22
2018-01-23,4848.31
2018-01-24,4880.22
2018-01-25,5210.34
2018-01-26,6632.36
2018-01-27,5172.81
2018-01-28,5238.2
2018-01-29,4470.11
2018-01-30,4542.47
2018-01-31,4634.38
2018-02-01,5618.2
2018-02-02,7578.43
2018-02-03,6530.56
2018-02-04,5983.6
2018-02-05,6903.15
2018-02-06,4613.48
2018-02-07,4702.02
2018-02-08,5095.06
2018-02-09,5666.52
2018-02-10,5371.46
2018-02-11,4923.82
2018-02-12,4531.46
2018-02-13,4701.57
2018-02-14,4270.79
2018-02-15,5199.33
2018-02-16,5438.88
2018-02-17,5318.2
2018-02-18,5286.07
2018-02-19,4870.34
2018-02-20,4715.28
2018-02-21,4854.83
2018-02-22,5211.69
2018-02-23,5963.6
2018-02-24,4969.44
2018-02-25,5126.29
2018-02-26,5099.78
2018-02-27,4727.19
2018-02-28,4646.74
2018-03-01,7035.51
2018-03-02,9117.98
2018-03-03,6572.58
2018-03-04,6316.18
2018-03-05,7192.58
2018-03-06,4332.58
2018-03-07,4077.53
2018-03-08,4991.46
2018-03-09,5903.37
2018-03-10,5509.44
