Date,ATM_ID,ATM_Name,Location_Type,Capacity,Cash_Withdrawn,Transaction_Count,Avg_Ticket_Size,Day_Of_Week,Is_Weekend,Is_Salary_Day,Holiday_Flag,Holiday_Name
2020-01-07,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,341200.0,110,3101.82,Tue,0,0,0,None
2020-01-07,ATM_03,ATM_03_Residential,Residential Suburb,2000000,247100.0,98,2521.43,Tue,0,0,0,None
2020-01-07,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,491500.0,219,2244.29,Tue,0,0,0,None
2020-01-07,ATM_05,ATM_05_University,University Campus,1500000,175300.0,70,2504.29,Tue,0,0,0,None
2020-01-08,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,432700.0,126,3434.13,Wed,0,0,0,None
2020-01-08,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,388600.0,127,3059.84,Wed,0,0,0,None
2020-01-08,ATM_03,ATM_03_Residential,Residential Suburb,2000000,225200.0,82,2746.34,Wed,0,0,0,None
2020-01-08,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,649200.0,255,2545.88,Wed,0,0,0,None
2020-01-08,ATM_05,ATM_05_University,University Campus,1500000,163400.0,64,2553.12,Wed,0,0,0,None
2020-01-09,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,403700.0,136,2968.38,Thu,0,0,0,None
2020-01-09,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,397000.0,117,3393.16,Thu,0,0,0,None
2020-01-09,ATM_03,ATM_03_Residential,Residential Suburb,2000000,232900.0,66,3528.79,Thu,0,0,0,None
2020-01-09,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,655400.0,228,2874.56,Thu,0,0,0,None
2020-01-09,ATM_05,ATM_05_University,University Campus,1500000,184600.0,78,2366.67,Thu,0,0,0,None
2020-01-10,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,493400.0,163,3026.99,Fri,0,0,0,None
2020-01-10,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,575000.0,251,2290.84,Fri,0,0,0,None
2020-01-10,ATM_03,ATM_03_Residential,Residential Suburb,2000000,242600.0,89,2725.84,Fri,0,0,0,None
2020-01-10,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,818400.0,236,3467.8,Fri,0,0,0,None
2020-01-10,ATM_05,ATM_05_University,University Campus,1500000,196300.0,59,3327.12,Fri,0,0,0,None
2020-01-11,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,197600.0,64,3087.5,Sat,1,0,0,None
2020-01-11,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,718500.0,247,2908.91,Sat,1,0,0,None
2020-01-11,ATM_03,ATM_03_Residential,Residential Suburb,2000000,273000.0,116,2353.45,Sat,1,0,0,None
2020-01-11,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,800400.0,289,2769.55,Sat,1,0,0,None
2020-01-11,ATM_05,ATM_05_University,University Campus,1500000,90300.0,27,3344.44,Sat,1,0,0,None
2020-01-12,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,144100.0,56,2573.21,Sun,1,0,0,None
2020-01-12,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,625400.0,184,3398.91,Sun,1,0,0,None
2020-01-12,ATM_03,ATM_03_Residential,Residential Suburb,2000000,270600.0,81,3340.74,Sun,1,0,0,None
2020-01-12,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,665500.0,222,2997.75,Sun,1,0,0,None
2020-01-12,ATM_05,ATM_05_University,University Campus,1500000,92000.0,38,2421.05,Sun,1,0,0,None
2020-01-13,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,451400.0,140,3224.29,Mon,0,0,0,None
2020-01-13,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,282800.0,97,2915.46,Mon,0,0,0,None
2020-01-13,ATM_03,ATM_03_Residential,Residential Suburb,2000000,272000.0,122,2229.51,Mon,0,0,0,None
2020-01-13,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,654200.0,191,3425.13,Mon,0,0,0,None
2020-01-13,ATM_05,ATM_05_University,University Campus,1500000,211800.0,81,2614.81,Mon,0,0,0,None
2020-01-14,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,383800.0,168,2284.52,Tue,0,0,0,None
2020-01-14,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,404500.0,175,2311.43,Tue,0,0,0,None
2020-01-14,ATM_03,ATM_03_Residential,Residential Suburb,2000000,210100.0,74,2839.19,Tue,0,0,0,None
2020-01-14,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,703900.0,220,3199.55,Tue,0,0,0,None
2020-01-14,ATM_05,ATM_05_University,University Campus,1500000,192000.0,81,2370.37,Tue,0,0,0,None
2020-01-15,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,368100.0,144,2556.25,Wed,0,0,0,None
2020-01-15,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,373100.0,111,3361.26,Wed,0,0,0,None
2020-01-15,ATM_03,ATM_03_Residential,Residential Suburb,2000000,225100.0,77,2923.38,Wed,0,0,0,None
2020-01-15,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,605000.0,192,3151.04,Wed,0,0,0,None
2020-01-15,ATM_05,ATM_05_University,University Campus,1500000,176200.0,50,3524.0,Wed,0,0,0,None
2020-01-16,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,456700.0,149,3065.1,Thu,0,0,0,None
2020-01-16,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,363300.0,154,2359.09,Thu,0,0,0,None
2020-01-16,ATM_03,ATM_03_Residential,Residential Suburb,2000000,247700.0,99,2502.02,Thu,0,0,0,None
2020-01-16,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,571800.0,228,2507.89,Thu,0,0,0,None
2020-01-16,ATM_05,ATM_05_University,University Campus,1500000,198800.0,79,2516.46,Thu,0,0,0,None
2020-01-17,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,536500.0,214,2507.01,Fri,0,0,0,None
2020-01-17,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,593700.0,175,3392.57,Fri,0,0,0,None
2020-01-17,ATM_03,ATM_03_Residential,Residential Suburb,2000000,262100.0,104,2520.19,Fri,0,0,0,None
2020-01-17,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,688100.0,224,3071.88,Fri,0,0,0,None
2020-01-17,ATM_05,ATM_05_University,University Campus,1500000,198900.0,58,3429.31,Fri,0,0,0,None
2020-01-18,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,182600.0,62,2945.16,Sat,1,0,0,None
2020-01-18,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,587700.0,180,3265.0,Sat,1,0,0,None
2020-01-18,ATM_03,ATM_03_Residential,Residential Suburb,2000000,280500.0,114,2460.53,Sat,1,0,0,None
2020-01-18,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,755100.0,274,2755.84,Sat,1,0,0,None
2020-01-18,ATM_05,ATM_05_University,University Campus,1500000,121100.0,43,2816.28,Sat,1,0,0,None
2020-01-19,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,134200.0,38,3531.58,Sun,1,0,0,None
2020-01-19,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,568300.0,244,2329.1,Sun,1,0,0,None
2020-01-19,ATM_03,ATM_03_Residential,Residential Suburb,2000000,258500.0,77,3357.14,Sun,1,0,0,None
2020-01-19,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,745500.0,295,2527.12,Sun,1,0,0,None
2020-01-19,ATM_05,ATM_05_University,University Campus,1500000,85000.0,30,2833.33,Sun,1,0,0,None
2020-01-20,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,484300.0,189,2562.43,Mon,0,0,0,None
2020-01-20,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,323000.0,116,2784.48,Mon,0,0,0,None
2020-01-20,ATM_03,ATM_03_Residential,Residential Suburb,2000000,293400.0,88,3334.09,Mon,0,0,0,None
2020-01-20,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,629900.0,180,3499.44,Mon,0,0,0,None
2020-01-20,ATM_05,ATM_05_University,University Campus,1500000,186900.0,56,3337.5,Mon,0,0,0,None
2020-01-21,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,505300.0,152,3324.34,Tue,0,0,0,None
2020-01-21,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,329200.0,136,2420.59,Tue,0,0,0,None
2020-01-21,ATM_03,ATM_03_Residential,Residential Suburb,2000000,224000.0,82,2731.71,Tue,0,0,0,None
2020-01-21,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,599000.0,263,2277.57,Tue,0,0,0,None
2020-01-21,ATM_05,ATM_05_University,University Campus,1500000,146200.0,57,2564.91,Tue,0,0,0,None
2020-01-22,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,474500.0,147,3227.89,Wed,0,0,0,None
2020-01-22,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,329100.0,95,3464.21,Wed,0,0,0,None
2020-01-22,ATM_03,ATM_03_Residential,Residential Suburb,2000000,237800.0,68,3497.06,Wed,0,0,0,None
2020-01-22,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,478100.0,199,2402.51,Wed,0,0,0,None
2020-01-22,ATM_05,ATM_05_University,University Campus,1500000,163700.0,63,2598.41,Wed,0,0,0,None
2020-01-23,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,472700.0,162,2917.9,Thu,0,0,0,None
2020-01-23,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,398500.0,125,3188.0,Thu,0,0,0,None
2020-01-23,ATM_03,ATM_03_Residential,Residential Suburb,2000000,259000.0,90,2877.78,Thu,0,0,0,None
2020-01-23,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,659100.0,199,3312.06,Thu,0,0,0,None
2020-01-23,ATM_05,ATM_05_University,University Campus,1500000,203100.0,88,2307.95,Thu,0,0,0,None
2020-01-24,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,569700.0,233,2445.06,Fri,0,0,0,None
2020-01-24,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,490200.0,195,2513.85,Fri,0,0,0,None
2020-01-24,ATM_03,ATM_03_Residential,Residential Suburb,2000000,245200.0,104,2357.69,Fri,0,0,0,None
2020-01-24,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,763100.0,256,2980.86,Fri,0,0,0,None
2020-01-24,ATM_05,ATM_05_University,University Campus,1500000,188300.0,62,3037.1,Fri,0,0,0,None
2020-01-25,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,159100.0,55,2892.73,Sat,1,0,0,None
2020-01-25,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,756000.0,221,3420.81,Sat,1,0,0,None
2020-01-25,ATM_03,ATM_03_Residential,Residential Suburb,2000000,283000.0,112,2526.79,Sat,1,0,0,None
2020-01-25,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,808500.0,297,2722.22,Sat,1,0,0,None
2020-01-25,ATM_05,ATM_05_University,University Campus,1500000,110700.0,42,2635.71,Sat,1,0,0,None
2020-01-26,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,51300.0,16,3206.25,Sun,1,0,1,Republic Day
2020-01-26,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,1320500.0,377,3502.65,Sun,1,0,1,Republic Day
2020-01-26,ATM_03,ATM_03_Residential,Residential Suburb,2000000,306400.0,87,3521.84,Sun,1,0,1,Republic Day
2020-01-26,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,1092900.0,429,2547.55,Sun,1,0,1,Republic Day
2020-01-26,ATM_05,ATM_05_University,University Campus,1500000,25300.0,7,3614.29,Sun,1,0,1,Republic Day
2020-01-27,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,501900.0,187,2683.96,Mon,0,0,0,None
2020-01-27,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,277700.0,115,2414.78,Mon,0,0,0,None
2020-01-27,ATM_03,ATM_03_Residential,Residential Suburb,2000000,270400.0,90,3004.44,Mon,0,0,0,None
2020-01-27,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,548100.0,157,3491.08,Mon,0,0,0,None
2020-01-27,ATM_05,ATM_05_University,University Campus,1500000,187400.0,57,3287.72,Mon,0,0,0,None
2020-01-28,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,424900.0,164,2590.85,Tue,0,0,0,None
2020-01-28,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,302200.0,127,2379.53,Tue,0,0,0,None
2020-01-28,ATM_03,ATM_03_Residential,Residential Suburb,2000000,205300.0,87,2359.77,Tue,0,0,0,None
2020-01-28,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,665300.0,260,2558.85,Tue,0,0,0,None
2020-01-28,ATM_05,ATM_05_University,University Campus,1500000,193200.0,64,3018.75,Tue,0,0,0,None
2020-01-29,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,404500.0,133,3041.35,Wed,0,0,0,None
2020-01-29,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,341700.0,134,2550.0,Wed,0,0,0,None
2020-01-29,ATM_03,ATM_03_Residential,Residential Suburb,2000000,203300.0,61,3332.79,Wed,0,0,0,None
2020-01-29,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,593500.0,255,2327.45,Wed,0,0,0,None
2020-01-29,ATM_05,ATM_05_University,University Campus,1500000,161100.0,73,2206.85,Wed,0,0,0,None
2020-01-30,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,441200.0,137,3220.44,Thu,0,0,0,None
2020-01-30,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,388200.0,122,3181.97,Thu,0,0,0,None
2020-01-30,ATM_03,ATM_03_Residential,Residential Suburb,2000000,232500.0,79,2943.04,Thu,0,0,0,None
2020-01-30,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,614800.0,267,2302.62,Thu,0,0,0,None
2020-01-30,ATM_05,ATM_05_University,University Campus,1500000,181400.0,54,3359.26,Thu,0,0,0,None
2020-01-31,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,527200.0,160,3295.0,Fri,0,0,0,None
2020-01-31,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,519700.0,175,2969.71,Fri,0,0,0,None
2020-01-31,ATM_03,ATM_03_Residential,Residential Suburb,2000000,263100.0,101,2604.95,Fri,0,0,0,None
2020-01-31,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,749200.0,222,3374.77,Fri,0,0,0,None
2020-01-31,ATM_05,ATM_05_University,University Campus,1500000,206800.0,61,3390.16,Fri,0,0,0,None
2020-02-01,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,264700.0,107,2473.83,Sat,1,1,0,None
2020-02-01,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,867700.0,269,3225.65,Sat,1,1,0,None
2020-02-01,ATM_03,ATM_03_Residential,Residential Suburb,2000000,389200.0,116,3355.17,Sat,1,1,0,None
2020-02-01,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,689000.0,286,2409.09,Sat,1,1,0,None
2020-02-01,ATM_05,ATM_05_University,University Campus,1500000,175000.0,51,3431.37,Sat,1,1,0,None
2020-02-02,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,277900.0,85,3269.41,Sun,1,1,0,None
2020-02-02,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,647500.0,193,3354.92,Sun,1,1,0,None
2020-02-02,ATM_03,ATM_03_Residential,Residential Suburb,2000000,407800.0,154,2648.05,Sun,1,1,0,None
2020-02-02,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,846100.0,248,3411.69,Sun,1,1,0,None
2020-02-02,ATM_05,ATM_05_University,University Campus,1500000,123600.0,37,3340.54,Sun,1,1,0,None
2020-02-03,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,677200.0,265,2555.47,Mon,0,1,0,None
2020-02-03,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,398800.0,119,3351.26,Mon,0,1,0,None
2020-02-03,ATM_03,ATM_03_Residential,Residential Suburb,2000000,345000.0,104,3317.31,Mon,0,1,0,None
2020-02-03,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,794600.0,283,2807.77,Mon,0,1,0,None
2020-02-03,ATM_05,ATM_05_University,University Campus,1500000,312600.0,120,2605.0,Mon,0,1,0,None
2020-02-04,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,775500.0,347,2234.87,Tue,0,1,0,None
2020-02-04,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,391600.0,159,2462.89,Tue,0,1,0,None
2020-02-04,ATM_03,ATM_03_Residential,Residential Suburb,2000000,302900.0,87,3481.61,Tue,0,1,0,None
2020-02-04,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,843000.0,328,2570.12,Tue,0,1,0,None
2020-02-04,ATM_05,ATM_05_University,University Campus,1500000,242300.0,69,3511.59,Tue,0,1,0,None
2020-02-05,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,682800.0,235,2905.53,Wed,0,1,0,None
2020-02-05,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,467500.0,135,3462.96,Wed,0,1,0,None
2020-02-05,ATM_03,ATM_03_Residential,Residential Suburb,2000000,317600.0,130,2443.08,Wed,0,1,0,None
2020-02-05,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,744500.0,318,2341.19,Wed,0,1,0,None
2020-02-05,ATM_05,ATM_05_University,University Campus,1500000,241300.0,87,2773.56,Wed,0,1,0,None
2020-02-06,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,432000.0,144,3000.0,Thu,0,0,0,None
2020-02-06,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,380500.0,132,2882.58,Thu,0,0,0,None
2020-02-06,ATM_03,ATM_03_Residential,Residential Suburb,2000000,230900.0,91,2537.36,Thu,0,0,0,None
2020-02-06,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,701400.0,224,3131.25,Thu,0,0,0,None
2020-02-06,ATM_05,ATM_05_University,University Campus,1500000,221300.0,76,2911.84,Thu,0,0,0,None
2020-02-07,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,496500.0,158,3142.41,Fri,0,0,0,None
2020-02-07,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,565400.0,211,2679.62,Fri,0,0,0,None
2020-02-07,ATM_03,ATM_03_Residential,Residential Suburb,2000000,239400.0,104,2301.92,Fri,0,0,0,None
2020-02-07,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,686100.0,263,2608.75,Fri,0,0,0,None
2020-02-07,ATM_05,ATM_05_University,University Campus,1500000,186500.0,56,3330.36,Fri,0,0,0,None
2020-02-08,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,176100.0,67,2628.36,Sat,1,0,0,None
2020-02-08,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,663000.0,242,2739.67,Sat,1,0,0,None
2020-02-08,ATM_03,ATM_03_Residential,Residential Suburb,2000000,268900.0,113,2379.65,Sat,1,0,0,None
2020-02-08,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,736100.0,268,2746.64,Sat,1,0,0,None
2020-02-08,ATM_05,ATM_05_University,University Campus,1500000,131600.0,39,3374.36,Sat,1,0,0,None
2020-02-09,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,132600.0,44,3013.64,Sun,1,0,0,None
2020-02-09,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,652300.0,296,2203.72,Sun,1,0,0,None
2020-02-09,ATM_03,ATM_03_Residential,Residential Suburb,2000000,295200.0,114,2589.47,Sun,1,0,0,None
2020-02-09,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,611900.0,200,3059.5,Sun,1,0,0,None
2020-02-09,ATM_05,ATM_05_University,University Campus,1500000,87700.0,31,2829.03,Sun,1,0,0,None
2020-02-10,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,432300.0,153,2825.49,Mon,0,0,0,None
2020-02-10,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,336700.0,99,3401.01,Mon,0,0,0,None
2020-02-10,ATM_03,ATM_03_Residential,Residential Suburb,2000000,265700.0,115,2310.43,Mon,0,0,0,None
2020-02-10,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,618900.0,215,2878.6,Mon,0,0,0,None
2020-02-10,ATM_05,ATM_05_University,University Campus,1500000,181500.0,55,3300.0,Mon,0,0,0,None
2020-02-11,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,412700.0,129,3199.22,Tue,0,0,0,None
2020-02-11,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,338900.0,137,2473.72,Tue,0,0,0,None
2020-02-11,ATM_03,ATM_03_Residential,Residential Suburb,2000000,228900.0,102,2244.12,Tue,0,0,0,None
2020-02-11,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,607800.0,183,3321.31,Tue,0,0,0,None
2020-02-11,ATM_05,ATM_05_University,University Campus,1500000,202400.0,88,2300.0,Tue,0,0,0,None
2020-02-12,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,376000.0,153,2457.52,Wed,0,0,0,None
2020-02-12,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,399300.0,128,3119.53,Wed,0,0,0,None
2020-02-12,ATM_03,ATM_03_Residential,Residential Suburb,2000000,227200.0,74,3070.27,Wed,0,0,0,None
2020-02-12,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,594900.0,269,2211.52,Wed,0,0,0,None
2020-02-12,ATM_05,ATM_05_University,University Campus,1500000,175400.0,75,2338.67,Wed,0,0,0,None
2020-02-13,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,376300.0,136,2766.91,Thu,0,0,0,None
2020-02-13,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,463300.0,161,2877.64,Thu,0,0,0,None
2020-02-13,ATM_03,ATM_03_Residential,Residential Suburb,2000000,278500.0,122,2282.79,Thu,0,0,0,None
2020-02-13,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,636100.0,227,2802.2,Thu,0,0,0,None
2020-02-13,ATM_05,ATM_05_University,University Campus,1500000,215700.0,66,3268.18,Thu,0,0,0,None
2020-02-14,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,437300.0,147,2974.83,Fri,0,0,0,None
2020-02-14,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,422600.0,123,3435.77,Fri,0,0,0,None
